year,month,day,temp,pressure,humidity,wind_speed,wind_direction,clouds,fossil_fuels,renewables,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015,1,1,282.4879167,1036.583333,90.45833333,4.25,203.25,0,215116,10284,25200,87725,592887,573522,46.7025,62.14875
2015,1,2,271.9755833,994.2916667,87.625,1.666666667,282.4583333,10.83333333,115775,405123,28491,257496,634143,626961,16.11416667,66.65958333
2015,1,3,272.7105417,991.2083333,84.41666667,2.166666667,248.75,3,116313,616215,26617,210158,586539,577092,24.315,62.9225
2015,1,4,274.758,984.5416667,65.375,1.125,152.7916667,2.5,140744,570851,54610,185227,626880,625449,28.84625,55.96333333
2015,1,5,267.6458235,965.5294118,72.47058824,2.058823529,263.4705882,4.647058824,119424,538967,17404,117630,355590,359819,38.66882353,71.19411765
2015,1,6,272.9908333,979.125,69.25,1,168.3333333,36.91666667,287622,292599,54084,57083,628525,643553,53.57083333,65.87708333
2015,1,7,272.4299167,984.5833333,73.54166667,1.125,293.9583333,41,338514,336886,53216,132964,749561,740002,56.98583333,75.97416667
2015,1,8,273.037375,989.375,68.16666667,1.375,255.0416667,0,282063,410040,53961,81735,626914,604712,51.42833333,75.73833333
2015,1,9,272.5143333,993.125,55.54166667,1.458333333,183.7083333,0.458333333,335087,369381,37037,99518,696455,704779,55.44833333,73.7775
2015,1,10,273.50525,985.4166667,62.29166667,1.958333333,241.25,0,322502,381147,41499,53004,644230,646879,55.01916667,65.6975
2015,1,11,275.45725,982.0833333,69.04166667,1.416666667,141.7916667,7.916666667,144763,327710,16923,226035,530689,526438,30.18291667,56.9975
2015,1,12,273.8333333,984.625,58.79166667,2.75,248.4166667,2.666666667,411126,451468,21791,28448,725670,725037,62.59875,69.05583333
2015,1,13,275.24125,978.375,70.25,3.833333333,243.4166667,44.16666667,323914,292503,22291,147397,749490,743201,54.955,67.33166667
2015,1,14,274.3258333,978.0416667,64.04166667,1.75,197.1666667,8.166666667,334138,445904,19061,135358,748853,742683,59.49583333,72.26541667
2015,1,15,274.9017917,971.375,68.04166667,4.125,229.9583333,2.458333333,259874,441823,15534,220941,755079,741523,46.03333333,58.28791667
2015,1,16,274.8525,963.75,68.41666667,2.166666667,242.4166667,36.66666667,261297,503000,15644,228242,749559,742174,51.14,63.89541667
2015,1,17,271.3970833,972.9583333,55.125,1.666666667,215.7916667,10.66666667,260909,527299,21797,149410,676563,671689,45.08583333,57.02708333
2015,1,18,271.035,969.4166667,49.33333333,2.583333333,225.5833333,39.16666667,251364,453241,5715,138724,643505,642151,41.29333333,55.07375
2015,1,19,270.4393182,960,77.5,3.227272727,89.45454545,87.81818182,287341,426322,14863,156473,689697,687273,48.85454545,62.23727273
2015,1,20,270.4060417,962.875,48.45833333,1.458333333,113.2916667,49.83333333,383093,424834,11125,98114,786568,787865,58.62958333,71.99666667
2015,1,21,269.57875,961.375,55.625,2,279.375,72.5,329342,395997,16406,191460,791046,790416,49.61458333,63.90875
2015,1,22,270.2854583,964.3333333,47.45833333,3.291666667,86.5,16.83333333,315676,473092,19079,227561,783860,784293,48.97833333,61.84083333
2015,1,23,271.60075,969.3333333,48.91666667,1.833333333,194.4166667,0.333333333,312131,520232,26688,202120,779975,773212,51.79708333,64.51166667
2015,1,24,271.456375,972.5833333,45.04166667,1.75,256.875,1,243505,504188,28067,196101,687118,689573,45.10791667,55.68083333
2015,1,25,272.9155,973.7083333,17.91666667,4.041666667,135.125,0,190628,497864,30331,232175,643410,632418,39.03583333,51.18166667
2015,1,26,270.7457917,979.25,44.95833333,1.333333333,177.9166667,41.66666667,301591,538667,29469,153419,761218,754108,55.88583333,68.25833333
2015,1,27,271.2428696,974.4347826,50.56521739,1.130434783,162.6956522,30.30434783,286957,479602,26836,181973,726089,723405,52.85826087,64.73521739
2015,1,28,270.5891304,973.3043478,58.34782609,1.260869565,146.826087,11.52173913,285836,467326,24633,164460,729046,720805,55.26217391,67.6326087
2015,1,29,273.3149583,960.0416667,51.5,3.166666667,240.2083333,24.66666667,202397,457500,17371,317227,765657,753812,42.46708333,54.85833333
