year,month,day,temp,pressure,humidity,wind_speed,wind_direction,clouds,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015,1,1,282.4879167,1036.583333,90.45833333,4.25,203.25,0,10284,6178,102162,101917,3845,25690,25149,52005,170328,1014,1775,27443,4852,89002,25200,87725,592887,573522,46.7025,62.14875
2015,1,2,271.9755833,994.2916667,87.625,1.666666667,282.4583333,10.83333333,8879,0,81787,28397,4574,35758,29777,85288,163434,1017,1411,29999,4277,256177,28491,257496,634143,626961,16.11416667,66.65958333
2015,1,3,272.7105417,991.2083333,84.41666667,2.166666667,248.75,3,10094,0,78862,30464,5192,31621,31571,91547,163193,1795,1522,26809,4694,210754,26617,210158,586539,577092,24.315,62.9225
2015,1,4,274.758,984.5416667,65.375,1.125,152.7916667,2.5,9140,0,79289,51320,8207,13115,34384,75801,162921,1928,1321,56968,3661,185036,54610,185227,626880,625449,28.84625,55.96333333
2015,1,5,267.6458235,965.5294118,72.47058824,2.058823529,263.4705882,4.647058824,5760,104,72918,40633,5130,19097,18632,41120,62811,639,1177,17770,2418,117220,17404,117630,355590,359819,38.66882353,71.19411765
2015,1,6,272.9908333,979.125,69.25,1,168.3333333,36.91666667,12354,21235,103639,153182,7588,5254,18889,72602,111498,1978,1519,53689,5377,56674,54084,57083,628525,643553,53.57083333,65.87708333
2015,1,7,272.4299167,984.5833333,73.54166667,1.125,293.9583333,41,11384,21288,124563,182185,8486,3263,16694,47746,137648,1992,1220,53987,5009,132578,53216,132964,749561,740002,56.98583333,75.97416667
2015,1,8,273.037375,989.375,68.16666667,1.375,255.0416667,0,11895,12544,102481,157887,7215,9307,15295,36024,155054,1936,1549,54799,5401,80852,53961,81735,626914,604712,51.42833333,75.73833333
2015,1,9,272.5143333,993.125,55.54166667,1.458333333,183.7083333,0.458333333,11100,20088,132408,172639,8031,3920,14042,46673,157752,1921,1584,39022,5712,99550,37037,99518,696455,704779,55.44833333,73.7775
2015,1,10,273.50525,985.4166667,62.29166667,1.958333333,241.25,0,12892,19921,124812,166249,9527,3807,11034,58691,138033,1993,1638,43416,5721,53128,41499,53004,644230,646879,55.01916667,65.6975
2015,1,11,275.45725,982.0833333,69.04166667,1.416666667,141.7916667,7.916666667,12242,0,89005,49011,4834,38813,14702,21600,115972,1913,1487,15072,6062,226855,16923,226035,530689,526438,30.18291667,56.9975
2015,1,12,273.8333333,984.625,58.79166667,2.75,248.4166667,2.666666667,10905,21528,211008,166996,9458,5457,18735,73940,125601,2136,1588,21257,5277,28580,21791,28448,725670,725037,62.59875,69.05583333
2015,1,13,275.24125,978.375,70.25,3.833333333,243.4166667,44.16666667,12068,19596,141346,153609,7485,12564,21421,60456,163306,1878,1618,21237,6177,147010,22291,147397,749490,743201,54.955,67.33166667
2015,1,14,274.3258333,978.0416667,64.04166667,1.75,197.1666667,8.166666667,12115,19809,143864,160896,7629,8962,22789,74189,163277,1940,1697,17540,6158,136050,19061,135358,748853,742683,59.49583333,72.26541667
2015,1,15,274.9017917,971.375,68.04166667,4.125,229.9583333,2.458333333,11161,18478,96081,135809,7744,17804,23187,45062,163175,1762,1686,13960,5990,220833,15534,220941,755079,741523,46.03333333,58.28791667
2015,1,16,274.8525,963.75,68.41666667,2.166666667,242.4166667,36.66666667,11303,16602,107311,127559,7848,22431,26293,47499,163335,1977,1708,16198,6022,232482,15644,228242,749559,742174,51.14,63.89541667
2015,1,17,271.3970833,972.9583333,55.125,1.666666667,215.7916667,10.66666667,11331,19231,106780,126407,6652,17017,25101,55715,163358,1839,1724,23809,6055,148998,21797,149410,676563,671689,45.08583333,57.02708333
2015,1,18,271.035,969.4166667,49.33333333,2.583333333,225.5833333,39.16666667,11464,18453,108488,116441,6128,23680,24766,53668,163410,1854,1676,5920,6065,136399,5715,138724,643505,642151,41.29333333,55.07375
2015,1,19,270.4393182,960,77.5,3.227272727,89.45454545,87.81818182,10738,18162,114709,146109,6626,16164,23838,51142,144507,1735,1489,16406,5492,153672,14863,156473,689697,687273,48.85454545,62.23727273
2015,1,20,270.4060417,962.875,48.45833333,1.458333333,113.2916667,49.83333333,12124,20712,174146,178926,7317,6397,27236,93248,140193,1992,1745,11216,6117,97517,11125,98114,786568,787865,58.62958333,71.99666667
