year,month,day,temp,pressure,humidity,wind_speed,wind_direction,clouds,fossil_fuels,renewables,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015,1,1,272.1848333,988.3333333,62.54166667,0.875,236.5416667,0,215116,406528,25200,87725,592887,573522,46.7025,62.14875
2015,1,2,261.299625,950.25,61.20833333,0.958333333,211.9166667,5.125,115775,615000,28491,257496,634143,626961,16.11416667,66.65958333
2015,1,3,262.5189167,940.5416667,63.5,0.958333333,140.4583333,0,116313,571805,26617,210158,586539,577092,24.315,62.9225
2015,1,4,263.2408333,932.5,64.04166667,0.916666667,98.54166667,0,140744,542347,54610,185227,626880,625449,28.84625,55.96333333
2015,1,5,255.6056471,915.6470588,66,0.941176471,110,1.411764706,119424,286005,17404,117630,355590,359819,38.66882353,71.19411765
2015,1,6,260.96425,924.625,74.625,0.791666667,228.25,31.66666667,287622,337856,54084,57083,628525,643553,53.57083333,65.87708333
2015,1,7,261.29375,945.6666667,68.41666667,0.958333333,192.3333333,0.333333333,338514,409529,53216,132964,749561,740002,56.98583333,75.97416667
2015,1,8,261.3669167,936.4166667,66.04166667,0.958333333,143.7916667,3.666666667,282063,370176,53961,81735,626914,604712,51.42833333,75.73833333
2015,1,9,263.4480417,950.7083333,68.33333333,0.791666667,63.58333333,0,335087,379355,37037,99518,696455,704779,55.44833333,73.7775
2015,1,10,262.8982917,940.75,70.29166667,0.916666667,208.9583333,0,322502,328360,41499,53004,644230,646879,55.01916667,65.6975
2015,1,11,263.6004167,931,70.58333333,1.291666667,107.75,12.91666667,144763,452805,16923,226035,530689,526438,30.18291667,56.9975
2015,1,12,264.097625,930.5833333,72.33333333,1.166666667,103.2083333,12.16666667,411126,291340,21791,28448,725670,725037,62.59875,69.05583333
2015,1,13,264.4874167,924.5833333,71.625,1.291666667,175.9166667,12.5,323914,445857,22291,147397,749490,743201,54.955,67.33166667
2015,1,14,265.0788333,924.0416667,82.375,1.125,218.3333333,51.33333333,334138,442777,19061,135358,748853,742683,59.49583333,72.26541667
2015,1,15,266.5854583,929.2916667,83.58333333,2.708333333,198.7083333,58,259874,502858,15534,220941,755079,741523,46.03333333,58.28791667
2015,1,16,266.6071667,912.9583333,85.625,3.416666667,256.6666667,34.83333333,261297,527271,15644,228242,749559,742174,51.14,63.89541667
2015,1,17,261.6218333,921,75.58333333,1.75,247.5833333,5.333333333,260909,453108,21797,149410,676563,671689,45.08583333,57.02708333
2015,1,18,263.3913333,911.625,91.58333333,2.541666667,160.7083333,81.5,251364,427048,5715,138724,643505,642151,41.29333333,55.07375
2015,1,19,263.0733636,915.7272727,80.18181818,4.727272727,71,43.09090909,287341,423448,14863,156473,689697,687273,48.85454545,62.23727273
2015,1,20,262.4271667,910.9166667,78.41666667,1.458333333,258.2916667,55.5,383093,395793,11125,98114,786568,787865,58.62958333,71.99666667
2015,1,21,262.6569167,914.125,78.41666667,3.291666667,274.4583333,39.08333333,329342,473096,16406,191460,791046,790416,49.61458333,63.90875
2015,1,22,265.0435,915.75,72.20833333,4.5,311.7916667,14.29166667,315676,519932,19079,227561,783860,784293,48.97833333,61.84083333
2015,1,23,262.659375,924.125,71.125,2.25,289.0833333,10.5,312131,505035,26688,202120,779975,773212,51.79708333,64.51166667
2015,1,24,260.82825,925.4583333,65.54166667,1.208333333,223.0416667,0,243505,499437,28067,196101,687118,689573,45.10791667,55.68083333
2015,1,25,263.7465417,929.3333333,66.04166667,1.333333333,92.95833333,0,190628,538269,30331,232175,643410,632418,39.03583333,51.18166667
2015,1,26,262.2135,927.7916667,66.66666667,0.833333333,169.9583333,9.583333333,301591,480066,29469,153419,761218,754108,55.88583333,68.25833333
2015,1,27,263.520913,942.2173913,73.65217391,1.434782609,211.2608696,0,286957,467032,26836,181973,726089,723405,52.85826087,64.73521739
2015,1,28,262.7952609,926.173913,71.04347826,1.086956522,247.8695652,2.434782609,285836,456762,24633,164460,729046,720805,55.26217391,67.6326087
2015,1,29,266.8090833,923.875,75.54166667,3.708333333,245.3333333,39.45833333,202397,608374,17371,317227,765657,753812,42.46708333,54.85833333
2015,1,30,272.390875,905.125,82.04166667,7.333333333,250.6666667,87.66666667,128278,665369,9264,341765,743547,743612,32.73083333,45.24083333
2015,1,31,268.861875,911.3333333,70.04166667,7.625,283.625,42.625,95948,647460,18897,310093,659012,664710,16.96958333,29.91166667
2015,2,1,254.9486154,878.6153846,61.30769231,5,276.6153846,2.461538462,137813,195464,5048,30000,318636,318609,46.05,31.52692308
2015,2,2,265.3764167,917.7916667,89.54166667,4.75,244.4166667,75.375,215521,550599,10000,211869,761416,762607,46.48916667,59.88416667
2015,2,3,266.681125,926.125,80.375,5.333333333,265.4583333,43,189946,541819,28534,156809,688213,680972,41.89333333,54.79333333
2015,2,4,262.9492917,905.5,69.5,5.5,325.6666667,39.5,132274,471639,50590,127466,549104,547302,36.40458333,51.98083333
2015,2,5,263.3455417,917.2916667,58.79166667,5.541666667,239.75,39.5,179275,408046,45061,155414,542136,545339,38.27333333,54.98875
2015,2,6,262.3069583,914.375,66.79166667,3.25,307.625,24.29166667,300822,345794,56946,54854,671641,675913,54.00833333,58.76041667
2015,2,7,260.8395,918.9583333,67.20833333,1.583333333,124.125,37.33333333,370815,370855,51743,84086,735463,727926,61.47708333,63.50958333
2015,2,8,261.0045833,925,69.16666667,2,21.91666667,0,221281,413707,56880,111741,580270,569399,43.59583333,50.99208333
2015,2,9,265.9235833,916.875,66.33333333,3.708333333,75.08333333,6.416666667,327615,372693,39760,96725,692455,696327,56.0475,63.61875
2015,2,10,268.6470833,908.5833333,73.625,3.208333333,99.5,83.08333333,310502,326709,39190,61960,640623,645354,55.14,70.81083333
2015,2,11,267.3025833,918.6666667,80.20833333,2.791666667,103.4166667,56.70833333,228707,417620,6979,202341,599035,613603,43.61375,74.09708333
2015,2,12,268.3628333,904.875,78.95833333,1,113.5416667,43,428482,291161,17436,46047,726894,722516,63.53833333,75.07708333
2015,2,13,271.7083333,900.25,81.70833333,2.625,203.8333333,47.66666667,302508,503065,24671,165038,763675,745378,49.01125,61.52125
2015,2,14,273.0020833,896.6666667,86.45833333,4.125,241.6666667,76.33333333,142260,609039,11548,279945,666559,666392,37.29833333,48.94416667
2015,2,15,271.1751667,915.7083333,84,4,268.75,40,133904,569132,12950,235159,617112,612086,27.75625,41.57125
2015,2,16,271.37075,917.0416667,76.375,2,257.1666667,33.04166667,241708,507993,18006,171939,726543,718997,49.4325,63.6275
2015,2,17,269.552875,937.875,69.5,6.375,27.79166667,32.83333333,190511,638258,14745,291654,726330,746941,38.20208333,51.37375
2015,2,18,269.0590417,910.375,67.66666667,3.583333333,44.75,30.41666667,244434,548853,27108,189314,760810,746344,44.64083333,58.07916667
2015,2,19,270.188875,924.6666667,68.29166667,1.041666667,123.0833333,6.333333333,291926,462256,33094,75811,755104,732766,54.28958333,68.31791667
2015,2,20,270.059625,901.875,74.16666667,1.208333333,177.7916667,37.75,275337,472877,22158,107880,740803,730876,50.0025,63.21916667
2015,2,21,270.9577083,890.0833333,77.375,3.958333333,289.1666667,32.33333333,137972,598647,18504,238940,659831,658087,33.31333333,44.80416667
2015,2,22,271.4345833,906.5416667,65.75,3.583333333,294.5833333,17.83333333,112951,629371,32000,255799,606644,609005,15.83333333,30.11666667
2015,2,23,270.1360417,908.75,75.79166667,3.875,236.2916667,33.25,125534,665083,17121,315271,719203,725505,28.61291667,43.295
2015,2,24,270.5180417,904.9583333,60.625,5.291666667,291.5,18.25,130605,686156,31022,309848,741246,743325,25.65833333,40.57958333
2015,2,25,270.5284583,923.625,66.54166667,4.5,309.7916667,37.16666667,141639,651058,29355,287578,745119,738703,32.765,46.94583333
2015,2,26,272.3414167,923.0833333,67.625,2.625,295.4583333,46.16666667,154609,608412,28557,248568,729030,723511,39.03666667,52.61666667
2015,2,27,269.194,976.2916667,64.5,3.166666667,303.4166667,7.25,149313,626527,32987,247417,721183,705439,37.88916667,51.57375
2015,2,28,270.6160417,915.7083333,75.83333333,1.583333333,214.2916667,17.33333333,137820,557290,27188,188321,633548,625598,33.53666667,45.24125
2015,3,1,275.7094167,925.8333333,74.625,2.291666667,254.5833333,18.08333333,269667,384740,24510,81554,610342,635372,51.5975,37.55833333
2015,3,2,276.4908333,911.5416667,81.33333333,1.708333333,209.7916667,31.41666667,228931,586950,13093,261529,783011,778455,42.08041667,54.87333333
2015,3,3,275.554875,906.75,82.5,1.291666667,220.375,51.66666667,238897,452837,31604,55539,697365,683447,52.38291667,63.73833333
2015,3,4,272.9965,969.2083333,61,4,247.7083333,6,139609,429728,36090,105300,499781,496233,34.27333333,45.87083333
