dttm,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,dttm,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
"2015-01-01 00:00:00+01:00",273.375,273.375,273.375,1039,75,1,21,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 00:00:00+01:00",447,329,0,4844,4821,162,0,0,0,863,1051,1899,0,7096,43,73,49,196,0,6378,17,6436,26118,25385,50.1,65.41
"2015-01-01 01:00:00+01:00",273.375,273.375,273.375,1039,75,1,21,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 01:00:00+01:00",449,328,0,5196,4755,158,0,0,0,920,1009,1658,0,7096,43,71,50,195,0,5890,16,5856,24934,24382,48.1,64.92
"2015-01-01 02:00:00+01:00",274.086,274.086,274.086,1039,71,3,27,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 02:00:00+01:00",448,323,0,4857,4581,157,0,0,0,1164,973,1371,0,7099,43,73,50,196,0,5461,8,5454,23515,22734,47.33,64.48
"2015-01-01 03:00:00+01:00",274.086,274.086,274.086,1039,71,3,27,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 03:00:00+01:00",438,254,0,4314,4131,160,0,0,0,1503,949,779,0,7098,43,75,50,191,0,5238,2,5151,22642,21286,42.27,59.32
"2015-01-01 04:00:00+01:00",274.086,274.086,274.086,1039,71,3,27,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 04:00:00+01:00",428,187,0,4130,3840,156,0,0,0,1826,953,720,0,7097,43,74,42,189,0,4935,9,4861,21785,20264,38.41,56.04
"2015-01-01 05:00:00+01:00",274.592,274.592,274.592,1039,81,4,57,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 05:00:00+01:00",410,178,0,4038,3590,156,0,0,0,2109,952,743,0,7098,43,74,34,188,0,4618,4,4617,21441,19905,35.72,53.63
"2015-01-01 06:00:00+01:00",274.592,274.592,274.592,1039,81,4,57,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 06:00:00+01:00",401,172,0,4040,3368,158,0,0,0,2108,961,848,0,7098,43,74,34,186,0,4397,3,4276,21285,20010,35.13,51.73
"2015-01-01 07:00:00+01:00",274.592,274.592,274.592,1039,81,4,57,0,0,0,0,800,clear,"sky is clear","01n","2015-01-01 07:00:00+01:00",408,172,0,4030,3208,160,0,0,0,2031,983,1012,0,7099,43,72,35,189,0,3992,12,3994,21545,20377,36.22,51.43
"2015-01-01 08:00:00+01:00",275.651,275.651,275.651,1041,73,2,32,0,0,0,0,800,clear,"sky is clear","01d","2015-01-01 08:00:00+01:00",413,177,0,4052,3335,161,0,0,0,2119,1001,1015,0,7098,43,73,54,198,0,3629,39,3602,21443,20094,32.4,48.98
"2015-01-01 09:00:00+01:00",275.651,275.651,275.651,1041,73,2,32,0,0,0,0,800,clear,"sky is clear","01d","2015-01-01 09:00:00+01:00",419,177,0,4137,3437,163,0,0,0,2170,1041,1357,0,7097,43,74,743,198,0,3073,784,3212,21560,20637,36.6,54.2
"2015-01-01 10:00:00+01:00",275.651,275.651,275.651,1041,73,2,32,0,0,0,0,800,clear,"sky is clear","01d","2015-01-01 10:00:00+01:00",422,173,0,4059,3516,167,0,0,0,2020,1041,1817,0,7096,43,72,2019,204,0,2683,1996,2617,22824,22250,43.1,58.94
"2015-01-01 11:00:00+01:00",285.074,285.074,285.074,1042,68,4,55,0,0,0,0,800,clear,"sky is clear","01d","2015-01-01 11:00:00+01:00",421,226,0,3931,3845,166,0,0,0,1183,1069,1516,0,7097,42,73,3197,206,0,2771,2990,2450,23720,23547,45.14,59.86
"2015-01-01 12:00:00+01:00",285.074,285.074,285.074,1042,68,4,55,0,0,0,0,800,clear,"sky is clear","01d","2015-01-01 12:00:00+01:00",428,303,0,3784,4220,167,0,0,0,972,1052,1204,0,7097,41,75,3885,209,0,2906,3842,2819,24180,24133,45.14,60.12
"2015-01-01 13:00:00+01:00",285.074,285.074,285.074,1042,68,4,55,0,0,0,0,800,clear,"sky is clear","01d","2015-01-01 13:00:00+01:00",425,288,0,3754,4404,167,0,0,0,922,1041,1286,0,7099,40,74,4007,210,0,2923,3812,2830,24797,24713,47.35,62.05
