year,month,day,temp,pressure,humidity,wind_speed,wind_direction,clouds,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015,1,1,274.987583333333,1035.66666666667,82.2916666666667,0.791666666666667,208.916666666667,3.83333333333333,10284,6178,0,102162,101917,3845,0,0,0,25690,25149,52005,0,170328,1014,1775,27443,4852,0,89002,25200,87725,592887,573522,46.7025,62.14875
2015,1,2,264.793333333333,994.25,79.1666666666667,0.916666666666667,233.333333333333,13.5,8879,0,0,81787,28397,4574,0,0,0,35758,29777,85288,0,163434,1017,1411,29999,4277,0,256177,28491,257496,634143,626961,16.1141666666667,66.6595833333333
2015,1,3,265.143583333333,992.958333333333,79.6666666666667,0.75,220.875,3.91666666666667,10094,0,0,78862,30464,5192,0,0,0,31621,31571,91547,0,163193,1795,1522,26809,4694,0,210754,26617,210158,586539,577092,24.315,62.9225
2015,1,4,265.755208333333,992.083333333333,90.5833333333333,0.708333333333333,196.916666666667,54.6666666666667,9140,0,0,79289,51320,8207,0,0,0,13115,34384,75801,0,162921,1928,1321,56968,3661,0,185036,54610,185227,626880,625449,28.84625,55.9633333333333
2015,1,5,258.286941176471,967.882352941176,90.5882352941177,0.352941176470588,165.176470588235,11.3529411764706,5760,104,0,72918,40633,5130,0,0,0,19097,18632,41120,0,62811,639,1177,17770,2418,0,117220,17404,117630,355590,359819,38.6688235294118,71.1941176470588
2015,1,6,264.784708333333,984.583333333333,87.2083333333333,0.625,160.125,37.2083333333333,12354,21235,0,103639,153182,7588,0,0,0,5254,18889,72602,0,111498,1978,1519,53689,5377,0,56674,54084,57083,628525,643553,53.5708333333333,65.8770833333333
2015,1,7,265.101333333333,987.75,83.0833333333333,0.958333333333333,194.333333333333,7.33333333333333,11384,21288,0,124563,182185,8486,0,0,0,3263,16694,47746,0,137648,1992,1220,53987,5009,0,132578,53216,132964,749561,740002,56.9858333333333,75.9741666666667
2015,1,8,264.854625,993.541666666667,80.7916666666667,0.958333333333333,192.083333333333,34.4583333333333,11895,12544,0,102481,157887,7215,0,0,0,9307,15295,36024,0,155054,1936,1549,54799,5401,0,80852,53961,81735,626914,604712,51.4283333333333,75.7383333333333
2015,1,9,266.672958333333,997.791666666667,79.0416666666667,0.875,183.291666666667,18.0416666666667,11100,20088,0,132408,172639,8031,0,0,0,3920,14042,46673,0,157752,1921,1584,39022,5712,0,99550,37037,99518,696455,704779,55.4483333333333,73.7775
2015,1,10,268.112833333333,991.333333333333,76.2083333333333,1.04166666666667,223.625,0,12892,19921,0,124812,166249,9527,0,0,0,3807,11034,58691,0,138033,1993,1638,43416,5721,0,53128,41499,53004,644230,646879,55.0191666666667,65.6975
2015,1,11,266.38825,990.791666666667,89.7916666666667,0.958333333333333,170.166666666667,45.9166666666667,12242,0,0,89005,49011,4834,0,0,0,38813,14702,21600,0,115972,1913,1487,15072,6062,0,226855,16923,226035,530689,526438,30.1829166666667,56.9975
2015,1,12,265.168083333333,985.75,80.2916666666667,1.375,179.541666666667,0.916666666666667,10905,21528,0,211008,166996,9458,0,0,0,5457,18735,73940,0,125601,2136,1588,21257,5277,0,28580,21791,28448,725670,725037,62.59875,69.0558333333333
2015,1,13,272.101625,978.125,60.125,2.625,222.291666666667,31.5833333333333,12068,19596,0,141346,153609,7485,0,0,0,12564,21421,60456,0,163306,1878,1618,21237,6177,0,147010,22291,147397,749490,743201,54.955,67.3316666666667
2015,1,14,269.225833333333,979.416666666667,67.0416666666667,1.70833333333333,202.25,14.2916666666667,12115,19809,0,143864,160896,7629,0,0,0,8962,22789,74189,0,163277,1940,1697,17540,6158,0,136050,19061,135358,748853,742683,59.4958333333333,72.2654166666667
2015,1,15,271.7955,968,58.125,4.04166666666667,218.166666666667,72,11161,18478,0,96081,135809,7744,0,0,0,17804,23187,45062,0,163175,1762,1686,13960,5990,0,220833,15534,220941,755079,741523,46.0333333333333,58.2879166666667
2015,1,16,266.703958333333,969.75,89.4166666666667,1.25,255.583333333333,81.0833333333333,11303,16602,0,107311,127559,7848,0,0,0,22431,26293,47499,0,163335,1977,1708,16198,6022,0,232482,15644,228242,749559,742174,51.14,63.8954166666667
2015,1,17,266.149625,978.125,85.0833333333333,1.29166666666667,239.041666666667,69.5,11331,19231,0,106780,126407,6652,0,0,0,17017,25101,55715,0,163358,1839,1724,23809,6055,0,148998,21797,149410,676563,671689,45.0858333333333,57.0270833333333
2015,1,18,267.145916666667,967.708333333333,73.375,2.16666666666667,225.875,57.0833333333333,11464,18453,0,108488,116441,6128,0,0,0,23680,24766,53668,0,163410,1854,1676,5920,6065,0,136399,5715,138724,643505,642151,41.2933333333333,55.07375
2015,1,19,264.812772727273,966.681818181818,83.2727272727273,2.40909090909091,309.363636363636,87.6363636363636,10738,18162,0,114709,146109,6626,0,0,0,16164,23838,51142,0,144507,1735,1489,16406,5492,0,153672,14863,156473,689697,687273,48.8545454545455,62.2372727272727
2015,1,20,264.46725,968.166666666667,92.4583333333333,1,200.458333333333,86.375,12124,20712,0,174146,178926,7317,0,0,0,6397,27236,93248,0,140193,1992,1745,11216,6117,0,97517,11125,98114,786568,787865,58.6295833333333,71.9966666666667
2015,1,21,266.062916666667,965.166666666667,90.375,2.29166666666667,267.625,85.5,12328,20523,0,128675,170540,7558,0,0,0,13900,27140,63251,0,142614,2046,1762,14482,5625,0,191994,16406,191460,791046,790416,49.6145833333333,63.90875
2015,1,22,266.137625,971.875,91.375,1.79166666666667,315.958333333333,88.1666666666667,12324,19037,0,122380,164708,7566,0,0,0,18138,26001,48337,0,160949,1985,1706,18933,5201,0,228343,19079,227561,783860,784293,48.9783333333333,61.8408333333333
2015,1,23,266.340458333333,983.125,80.5,1.29166666666667,321.458333333333,78.2083333333333,12624,17886,0,118043,166377,7776,0,0,0,16036,25989,49326,0,163292,2049,1686,28967,5191,0,201924,26688,202120,779975,773212,51.7970833333333,64.5116666666667
2015,1,24,264.718583333333,987.125,88.25,1.20833333333333,238.75,40.8333333333333,11777,12210,0,90805,132741,6467,0,0,0,17986,24619,46511,0,163209,1282,1761,31878,5031,0,196665,28067,196101,687118,689573,45.1079166666667,55.6808333333333
2015,1,25,264.699208333333,990.583333333333,87.2083333333333,0.666666666666667,204.541666666667,72.4583333333333,10204,10177,0,84824,89198,5892,0,0,0,31306,23694,37254,0,163230,537,1684,33628,5199,0,232070,30331,232175,643410,632418,39.0358333333333,51.1816666666667
2015,1,26,265.0805,989.541666666667,83.75,0.666666666666667,279.708333333333,50.7083333333333,10602,19013,0,124010,150304,7098,0,0,0,14274,25619,73518,0,163333,1166,1690,32398,5238,0,153394,29469,153419,761218,754108,55.8858333333333,68.2583333333333
