year,month,day,temp,pressure,humidity,wind_speed,wind_direction,clouds,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015,1,1,282.487948091667,1036.58333333333,90.4583333333333,4.25,203.25,0,10284,6178,0,102162,101917,3845,0,0,0,25690,25149,52005,0,170328,1014,1775,27443,4852,0,89002,25200,87725,592887,573522,46.7024997070833,62.14874982875
2015,01,02,271.975584675,994.291666666667,87.625,1.66666666666667,282.458333333333,10.8333333333333,8879,0,0,81787,28397,4574,0,0,0,35758,29777,85288,0,163434,1017,1411,29999,4277,0,256177,28491,257496,634143,626961,16.1141666177083,66.6595838866667
2015,01,03,272.710521708333,991.208333333333,84.4166666666667,2.16666666666667,248.75,3,10094,0,0,78862,30464,5192,0,0,0,31621,31571,91547,0,163193,1795,1522,26809,4694,0,210754,26617,210158,586539,577092,24.31499973875,62.9224999745833
2015,01,04,274.7580401125,984.541666666667,65.375,1.125,152.791666666667,2.5,9140,0,0,79289,51320,8207,0,0,0,13115,34384,75801,0,162921,1928,1321,56968,3661,0,185036,54610,185227,626880,625449,28.84624981875,55.9633336070833
2015,01,05,267.645789658823,965.529411764706,72.4705882352941,2.05882352941176,263.470588235294,4.64705882352941,5760,104,0,72918,40633,5130,0,0,0,19097,18632,41120,0,62811,639,1177,17770,2418,0,117220,17404,117630,355590,359819,38.6688234658823,71.1941176035294
2015,01,06,272.990837095833,979.125,69.25,1,168.333333333333,36.9166666666667,12354,21235,0,103639,153182,7588,0,0,0,5254,18889,72602,0,111498,1978,1519,53689,5377,0,56674,54084,57083,628525,643553,53.5708333658333,65.8770831433333
2015,01,07,272.4298540875,984.583333333333,73.5416666666667,1.125,293.958333333333,41,11384,21288,0,124563,182185,8486,0,0,0,3263,16694,47746,0,137648,1992,1220,53987,5009,0,132578,53216,132964,749561,740002,56.9858328491667,75.9741670325
2015,01,08,273.037367504167,989.375,68.1666666666667,1.375,255.041666666667,0,11895,12544,0,102481,157887,7215,0,0,0,9307,15295,36024,0,155054,1936,1549,54799,5401,0,80852,53961,81735,626914,604712,51.4283337591667,75.7383340208333
2015,01,09,272.514385233333,993.125,55.5416666666667,1.45833333333333,183.708333333333,0.458333333333333,11100,20088,0,132408,172639,8031,0,0,0,3920,14042,46673,0,157752,1921,1584,39022,5712,0,99550,37037,99518,696455,704779,55.4483329458333,73.7775001529167
2015,01,10,273.505287166667,985.416666666667,62.2916666666667,1.95833333333333,241.25,0,12892,19921,0,124812,166249,9527,0,0,0,3807,11034,58691,0,138033,1993,1638,43416,5721,0,53128,41499,53004,644230,646879,55.0191666291667,65.69750022875
2015,01,11,275.457223258333,982.083333333333,69.0416666666667,1.41666666666667,141.791666666667,7.91666666666667,12242,0,0,89005,49011,4834,0,0,0,38813,14702,21600,0,115972,1913,1487,15072,6062,0,226855,16923,226035,530689,526438,30.1829166416667,56.9974997833334
2015,01,12,273.833335879167,984.625,58.7916666666667,2.75,248.416666666667,2.66666666666667,10905,21528,0,211008,166996,9458,0,0,0,5457,18735,73940,0,125601,2136,1588,21257,5277,0,28580,21791,28448,725670,725037,62.59875059125,69.0558330225
2015,01,13,275.241249083333,978.375,70.25,3.83333333333333,243.416666666667,44.1666666666667,12068,19596,0,141346,153609,7485,0,0,0,12564,21421,60456,0,163306,1878,1618,21237,6177,0,147010,22291,147397,749490,743201,54.9549994458333,67.3316669470833
2015,01,14,274.3258349125,978.041666666667,64.0416666666667,1.75,197.166666666667,8.16666666666667,12115,19809,0,143864,160896,7629,0,0,0,8962,22789,74189,0,163277,1940,1697,17540,6158,0,136050,19061,135358,748853,742683,59.4958332383333,72.265416305
2015,01,15,274.901782991667,971.375,68.0416666666667,4.125,229.958333333333,2.45833333333333,11161,18478,0,96081,135809,7744,0,0,0,17804,23187,45062,0,163175,1762,1686,13960,5990,0,220833,15534,220941,755079,741523,46.0333328245833,58.2879166608333
2015,01,16,274.852498370833,963.75,68.4166666666667,2.16666666666667,242.416666666667,36.6666666666667,11303,16602,0,107311,127559,7848,0,0,0,22431,26293,47499,0,163335,1977,1708,16198,6022,0,232482,15644,228242,749559,742174,51.1400001845833,63.8954168958333
2015,01,17,271.397085825,972.958333333333,55.125,1.66666666666667,215.791666666667,10.6666666666667,11331,19231,0,106780,126407,6652,0,0,0,17017,25101,55715,0,163358,1839,1724,23809,6055,0,148998,21797,149410,676563,671689,45.0858330729167,57.0270827608333
2015,01,18,271.034998579167,969.416666666667,49.3333333333333,2.58333333333333,225.583333333333,39.1666666666667,11464,18453,0,108488,116441,6128,0,0,0,23680,24766,53668,0,163410,1854,1676,5920,6065,0,136399,5715,138724,643505,642151,41.2933328941667,55.0737493833333
2015,01,19,270.439343536364,960,77.5,3.22727272727273,89.4545454545455,87.8181818181818,10738,18162,0,114709,146109,6626,0,0,0,16164,23838,51142,0,144507,1735,1489,16406,5492,0,153672,14863,156473,689697,687273,48.8545452463636,62.2372727836363
2015,01,20,270.406042733333,962.875,48.4583333333333,1.45833333333333,113.291666666667,49.8333333333333,12124,20712,0,174146,178926,7317,0,0,0,6397,27236,93248,0,140193,1992,1745,11216,6117,0,97517,11125,98114,786568,787865,58.6295839954167,71.9966669091666
2015,01,21,269.578750620833,961.375,55.625,2,279.375,72.5,12328,20523,0,128675,170540,7558,0,0,0,13900,27140,63251,0,142614,2046,1762,14482,5625,0,191994,16406,191460,791046,790416,49.61458365125,63.9087502166667
2015,01,22,270.285472870833,964.333333333333,47.4583333333333,3.29166666666667,86.5,16.8333333333333,12324,19037,0,122380,164708,7566,0,0,0,18138,26001,48337,0,160949,1985,1706,18933,5201,0,228343,19079,227561,783860,784293,48.97833331375,61.8408336645833
